Index,Puzzle,Year,Category,INF-WC,INF-NWC,INF-stacking,INF-all,RMSD,DI-all,MCQ,p-value
35,PZ34,2022,Server,"0,829",0,"0,726","0,727","11,667","16,038","18,22",0
35,PZ34,2022,Server,"0,813",0,"0,697","0,708","11,679","16,505","19,59",0
35,PZ34,2022,Server,"0,873",0,"0,656","0,692","11,771","17,022","19,61",0
35,PZ34,2022,Human,"0,901",0,"0,622","0,669","11,775","17,613","24,2",0
35,PZ34,2022,Server,"0,891",0,"0,709","0,724","11,859","16,386","17,93",0
35,PZ34,2022,Server,"0,856",0,"0,703","0,716","11,952","16,704","19,39","0,000000000101"
35,PZ34,2022,Server,"0,829",0,"0,685","0,704","11,973","17,016","17,67","0,000000000109"
35,PZ34,2022,Server,"0,878",0,"0,643","0,679","12,141","17,892","20,71","0,000000000199"
35,PZ34,2022,Server,"0,825",0,"0,668","0,692","12,231","17,682","19,16","0,000000000273"
35,PZ34,2022,Server,"0,798",0,"0,691","0,7","12,243","17,5","19,07","0,000000000285"
35,PZ34,2022,Server,"0,798",0,"0,675","0,685","12,273","17,926","18,34","0,000000000317"
35,PZ34,2022,Server,"0,813",0,"0,643","0,66","12,383","18,773","18,69","0,000000000467"
35,PZ34,2022,Server,"0,786",0,"0,703","0,7","12,448","17,791","17,44","0,000000000585"
35,PZ34,2022,Server,"0,655",0,"0,697","0,658","12,479","18,951","22,29","0,000000000651"
35,PZ34,2022,Human,"0,874",0,"0,616","0,616","12,558","20,374","21,73","0,000000000854"
35,PZ34,2022,Human,"0,813",0,"0,737","0,731","12,559","17,175","17,32","0,000000000857"
35,PZ34,2022,Server,"0,813",0,"0,737","0,731","12,559","17,175","17,32","0,000000000857"
35,PZ34,2022,Human,"0,905",0,"0,629","0,672","12,563","18,685","18,97","0,000000000869"
35,PZ34,2022,Human,"0,786",0,"0,618","0,638","12,638","19,798","19,42","0,00000000112"
35,PZ34,2022,Server,"0,873",0,"0,68","0,712","12,653","17,782","16,3","0,00000000118"
35,PZ34,2022,Server,"0,857",0,"0,635","0,667","12,753","19,12","19,25","0,00000000166"
35,PZ34,2022,Human,"0,701",0,"0,703","0,68","12,779","18,799","21,23","0,00000000181"
35,PZ34,2022,Server,"0,856",0,"0,685","0,708","12,795","18,082","20,05","0,00000000191"
35,PZ34,2022,Human,"0,813",0,"0,68","0,685","12,825","18,731","16,6","0,00000000211"
35,PZ34,2022,Server,"0,813",0,"0,68","0,685","12,825","18,731","16,6","0,00000000211"
